Title	Author	Playlist	Language
4-Week Yoga Challenge	Bad Yogi	https://www.youtube.com/watch?v=sFFzDGu9P-s&list=PL2WEG7DCunQ8mcUcmB7zJ66m5uhDk8JVK	en
Jillian Michaels Yoga Meltdown level 1	BeFiT	https://www.youtube.com/watch?v=q5nyrD4eM64&list=PLayWuCKODb1nFeAlr6lV1IgOnsMjqE8vM	en
Provocative Yoga	BodyRock	https://www.youtube.com/watch?v=_fzOJX1Is_U&list=PLdLzQAslwOS6b05hoxCK6eE71BJgNpTJT	en
Yoga With A View - 20 Minute Workouts With Top Instructors	Plum TV - Live The Good Life	https://www.youtube.com/watch?v=kt_1sajJ1tk&list=PLF2419ABE0D6CA406	en
Advanced Yoga With Tara Stiles	LivestrongWoman	https://www.youtube.com/watch?v=VuAP8RyOXjk&list=PLE0197CF821DCBF1B	en
30 Minute Yoga Videos	Yoga by Candace	https://www.youtube.com/watch?v=2nIpLNY66qw&list=PL8xm_b9xYx_CLuZQeET8wU-eSGb1ATsVM	en
Yoga Beginners - Ekhart Yoga	Ekhart Yoga	https://www.youtube.com/watch?v=2B-_aQ5vS9E&list=PL68C4F42A875FF6B0	en
Yoga On The Road	Yoga With Adriene	https://www.youtube.com/watch?v=G6edqEaFJVg&list=PLui6Eyny-Uzzb7UrYJDW2TFCDlS2IUN34	en
intermediate advanced POWER VINYASA YOGA CLASSES	Ali Kamenova	https://www.youtube.com/watch?v=7yiRQ_NgcpA&index=34&list=PLhzmO43Z8pT9Ys3DftqFGyduKyvycakx6	en
HIIT & Interval Training Yoga Workouts	Ali Kamenova	https://www.youtube.com/watch?v=GQlegexXcCY&list=PLhzmO43Z8pT-xMy4jHb1nQ1gqDzWxClQn	en
Yoga For Runners	Yoga With Adriene	https://www.youtube.com/watch?v=Fgz7Ikf7ATk&list=PLui6Eyny-UzzoiewtypZsiw2OIUz2btnD	en
Hatha Yoga	SarahBethYoga	https://www.youtube.com/watch?v=IvAx7q2LKqk&list=PLP7Ou7uUiYzAGxk7XSsL4CsHy1_LS3Vxi	en
Postures de Yoga	Doctissimo	https://www.youtube.com/watch?v=Y4iMzbHJO5s&list=PLqQceE2KkkkeA3aS2XaFXCu289igrrBnk	fr
Cours de Yoga avec Ariane	YogaCoaching	https://www.youtube.com/watch?v=0oeB8bqT5UU&list=PLMQxytvIdvF9_-NiG8RVMwnMhyd3_cIal	fr
Le Yoga pour les débutants	YogaVidyaFrancais	https://www.youtube.com/watch?v=qK-6ffjehIk&list=PLDC4CF41A5F7F4197	fr
Yoga du matin	imineo Yoga	https://www.youtube.com/watch?v=JF0B9uLUkt0&list=PL5RM-55APyIlo1YeMQ18LfXb9IwmXPYdm	fr
Yoga	Femina	https://www.youtube.com/watch?v=ZqyhLL-vazc&list=PLLUi1Rz1v9htycKVa4ZC10WyboifqKShR	fr
Hatha Yoga FR	arama david	https://www.youtube.com/watch?v=EoVdp0P8nCk&list=PL8AYT8nXi670EVwitB8wW7yLpc9bd0QbD	fr
Yoga prénatal	Doctissimo	https://www.youtube.com/watch?v=wWLvonNyT6A&list=PLqQceE2KkkkfyKSnuhses4Je5y4KXv4Bb	fr
Cours Complet: Pranayama + Asana + Relaxation = 45mn de Yoga	YogaCoaching	https://www.youtube.com/watch?v=m-4iM0PkQt0&list=PLMQxytvIdvF90a31I-3fmRLJG-RtqpA0_	fr
YOGA DU SOIR Détente Ancrage	YogaCoaching	https://www.youtube.com/watch?v=g8gACPrx7zw&list=PLi2-EVhG3Kh5cP_IwMzXA0X2RoiZKJ7SA	fr
Cours de Yoga - Samuel Ganes	Minute Forme	https://www.youtube.com/watch?v=_OQLbx_NbFE&list=PLg4NTtu1fHz8UNLdvP3-15zaKIXueTAS3	fr
Yoga Programme für Anfänger	HappyAndFitYoga	https://www.youtube.com/watch?v=qjGI1Kx2_oQ&list=PL9y4fO90WgeqDV79nYs5Ck2aKjlEzWHMd	de
Yoga Programme für Fortgeschrittene	HappyAndFitYoga	https://www.youtube.com/watch?v=TLGdoOLfkXk&list=PL9y4fO90WgeoKUw7OGQajgZQSAzAKy8Xz	de
Yoga Rücken	HappyAndFitYoga	https://www.youtube.com/watch?v=0_Gfs0dLGEc&list=PL9y4fO90WgepWgQWLmweDzebumVmH9mN5	de
Yoga Programme für die Mittelstufe	HappyAndFitYoga	https://www.youtube.com/watch?v=fb94HdPeuYQ&list=PL9y4fO90Wger-bX5vn1LK8s0DVWtQzi0a	de
Yoga Fatburning	HappyAndFitYoga	https://www.youtube.com/watch?v=q9iPTZbiHg0&list=PL9y4fO90WgeqeyAdvipuklHfjELX1SEm0	de
Yoga Bauch	HappyAndFitYoga	https://www.youtube.com/watch?v=d8i3hBkWHOw&list=PL9y4fO90Wgerl67-C2akrj3Tv0BNUVDtH	de
Yin Yoga	HappyAndFitYoga	https://www.youtube.com/watch?v=g-K_eBzvVr0&list=PL9y4fO90WgeqjdKZ-C4Qu0MrTWEEQrq3U	de
Yoga Mittelstufe	Yoga Übungsvideos – Yoga Vidya	https://www.youtube.com/watch?v=i5VF1yurkUg&list=PL338F69C47191BBDD	de
Rücken Yoga	Yoga Übungsvideos – Yoga Vidya	https://www.youtube.com/watch?v=FvRIHpPeQ2I&list=PLI0L5ZtsNRnC8lXw6W_nie7NMVChgbWiQ	de
Yoga für Anfänger	Yoga Übungsvideos – Yoga Vidya	https://www.youtube.com/watch?v=_d-LaiQRXSE&list=PL77DF7F4719179229	de
YOGA	yogalog 日本最大のヨガレッスン動画サイト	https://www.youtube.com/watch?v=WGFQvDmMq3Q&list=PLXCiFSlyedV9DP_QvYc8sCoQJXKd6Mqiw	ja
